epoch,step,test_bps_bhv,test_bps_enc,test_loss,time_forward,train_bps_enc,train_loss,valid_bps_bhv,valid_bps_enc,valid_loss
0,5,,,,,,,-0.10525525361299515,-0.035158462822437286,3777.770751953125
0,5,,,,2.2845547199249268,-0.02256675809621811,3654.620361328125,,,
1,11,,,,,,,-0.10344540327787399,-0.008185134269297123,3729.4775390625
1,11,,,,2.111023187637329,0.015251671895384789,3560.013916015625,,,
2,17,,,,,,,-0.10380701720714569,0.0169846061617136,3694.331787109375
2,17,,,,2.1366684436798096,0.0461752787232399,3510.60498046875,,,
3,23,,,,,,,-0.10716965049505234,0.044238824397325516,3666.677490234375
3,23,,,,2.0332608222961426,0.0760750100016594,3474.9296875,,,
4,29,,,,,,,-0.11665336787700653,0.10601745545864105,3630.547119140625
4,29,,,,1.9514693021774292,0.11637036502361298,3444.1171875,,,
5,35,,,,,,,-0.09257180243730545,0.17288106679916382,3586.7958984375
5,35,,,,2.1996607780456543,0.2032114565372467,3405.93994140625,,,
6,41,,,,,,,-0.07257283478975296,0.21846245229244232,3565.947021484375
6,41,,,,2.162330150604248,0.24373167753219604,3371.15185546875,,,
7,47,,,,,,,-0.09417314827442169,0.23914703726768494,3541.882568359375
7,47,,,,2.0411438941955566,0.2895134389400482,3346.073974609375,,,
8,53,,,,,,,-0.09908588975667953,0.2505075931549072,3527.237548828125
8,53,,,,2.1792521476745605,0.30904000997543335,3327.753662109375,,,
9,59,,,,,,,-0.0662379190325737,0.2533230483531952,3529.753662109375
9,59,,,,2.0929114818573,0.3197077214717865,3316.731689453125,,,
10,65,,,,,,,-0.08141299337148666,0.25661319494247437,3515.863037109375
10,65,,,,2.1265900135040283,0.3255033791065216,3310.51708984375,,,
11,71,,,,,,,-0.061715222895145416,0.2672411799430847,3512.412109375
11,71,,,,2.075378656387329,0.327273964881897,3304.80126953125,,,
12,77,,,,,,,-0.08487601578235626,0.26340267062187195,3507.763671875
12,77,,,,2.113856792449951,0.33506882190704346,3300.76171875,,,
13,83,,,,,,,-0.07074077427387238,0.26746073365211487,3506.55078125
13,83,,,,2.2162907123565674,0.3322034180164337,3297.576904296875,,,
14,89,,,,,,,-0.0894378051161766,0.26476767659187317,3503.949951171875
14,89,,,,2.1555380821228027,0.33435991406440735,3294.854736328125,,,
15,95,,,,,,,-0.0755699947476387,0.2654567360877991,3503.265380859375
15,95,,,,2.1823503971099854,0.3339928090572357,3292.56103515625,,,
16,101,,,,,,,-0.08420164883136749,0.2684665620326996,3497.16552734375
16,101,,,,2.231119394302368,0.3328610956668854,3290.50390625,,,
17,107,,,,,,,-0.07627604901790619,0.2672452926635742,3497.580078125
17,107,,,,2.1565680503845215,0.33397406339645386,3288.40673828125,,,
18,113,,,,,,,-0.09297487139701843,0.2658107280731201,3494.902587890625
18,113,,,,2.076115846633911,0.33222532272338867,3286.958740234375,,,
19,119,,,,,,,-0.07218663394451141,0.26556241512298584,3494.81591796875
19,119,,,,2.119885206222534,0.3309377431869507,3284.992431640625,,,
20,125,,,,,,,-0.09895025193691254,0.26359155774116516,3493.871337890625
20,125,,,,2.0896313190460205,0.3320677876472473,3283.35498046875,,,
21,131,,,,,,,-0.06770569831132889,0.26829901337623596,3492.260498046875
21,131,,,,2.1476407051086426,0.33251953125,3281.63330078125,,,
22,137,,,,,,,-0.09036035090684891,0.2681867778301239,3490.015869140625
22,137,,,,2.1403048038482666,0.3352701663970947,3279.36376953125,,,
23,143,,,,,,,-0.07035339623689651,0.28734320402145386,3484.10546875
23,143,,,,2.047961711883545,0.3452848792076111,3274.61669921875,,,
24,149,,,,,,,-0.0823059156537056,0.30068063735961914,3473.31640625
24,149,,,,2.223444938659668,0.3638461232185364,3266.706787109375,,,
25,155,,,,,,,-0.0972425788640976,0.31095626950263977,3466.564697265625
25,155,,,,2.1512343883514404,0.3816840946674347,3259.576904296875,,,
26,161,,,,,,,-0.062226105481386185,0.32080429792404175,3461.6455078125
26,161,,,,2.140244245529175,0.3894027769565582,3254.032470703125,,,
27,167,,,,,,,-0.10377176851034164,0.3179149329662323,3460.204345703125
27,167,,,,2.129728317260742,0.39134857058525085,3249.88134765625,,,
28,173,,,,,,,-0.0511191226541996,0.32363614439964294,3454.931640625
28,173,,,,2.0160415172576904,0.39140209555625916,3246.896728515625,,,
29,179,,,,,,,-0.07291994243860245,0.3245508074760437,3452.843505859375
29,179,,,,2.046776056289673,0.3937491476535797,3243.83154296875,,,
30,185,,,,,,,-0.0449867844581604,0.32883965969085693,3449.97802734375
30,185,,,,2.2099149227142334,0.39489054679870605,3241.814453125,,,
31,191,,,,,,,-0.06065377593040466,0.3289204239845276,3449.67041015625
31,191,,,,2.1255042552948,0.39668259024620056,3240.39501953125,,,
32,197,,,,,,,-0.07974056154489517,0.32555004954338074,3449.329833984375
32,197,,,,2.0833561420440674,0.3993642032146454,3238.02197265625,,,
33,203,,,,,,,-0.050775572657585144,0.3302460014820099,3446.68359375
33,203,,,,2.2474074363708496,0.40170520544052124,3236.486572265625,,,
34,209,,,,,,,-0.06653822958469391,0.3342370092868805,3446.472900390625
34,209,,,,2.087547540664673,0.4049023687839508,3235.18701171875,,,
35,215,,,,,,,-0.03244459629058838,0.3387695252895355,3445.32373046875
35,215,,,,2.195209264755249,0.40791255235671997,3233.6298828125,,,
36,221,,,,,,,-0.04965726658701897,0.33892449736595154,3444.81201171875
36,221,,,,2.250460624694824,0.41108134388923645,3232.004638671875,,,
37,227,,,,,,,-0.06260252743959427,0.34576156735420227,3441.606689453125
