epoch,step,test_bps_bhv,test_bps_enc,test_loss,time_forward,train_bps_enc,train_loss,valid_bps_bhv,valid_bps_enc,valid_loss
0,2,,,,,,,-0.6598944067955017,0.12382500618696213,3684.4423828125
0,2,,,,1.1598224639892578,-37.14912796020508,29702.39453125,,,
1,5,,,,,,,-0.230770081281662,0.24216479063034058,3523.485107421875
1,5,,,,0.8199260234832764,0.26047149300575256,3379.766845703125,,,
2,8,,,,,,,-0.11209926754236221,0.3500611186027527,3458.314697265625
2,8,,,,0.8725614547729492,0.3575793206691742,3272.596923828125,,,
3,11,,,,,,,-0.14073462784290314,0.3932555317878723,3419.763427734375
3,11,,,,0.828951895236969,0.4493562877178192,3215.552001953125,,,
4,14,,,,,,,-0.0008248125086538494,0.41870447993278503,3392.016845703125
4,14,,,,0.8095400929450989,0.482446551322937,3187.741943359375,,,
5,17,,,,,,,-0.01418085116893053,0.43483713269233704,3375.505859375
5,17,,,,0.7427993416786194,0.502537727355957,3169.796875,,,
6,20,,,,,,,-0.0010875086300075054,0.45468756556510925,3364.8759765625
6,20,,,,0.8586615920066833,0.5212192535400391,3156.2998046875,,,
7,23,,,,,,,0.011900992132723331,0.4669184386730194,3356.11669921875
7,23,,,,0.8798654079437256,0.5426993370056152,3145.16845703125,,,
8,26,,,,,,,0.01768593303859234,0.48781299591064453,3347.375732421875
8,26,,,,0.8225724101066589,0.5587167739868164,3136.041259765625,,,
9,29,,,,,,,0.04594250023365021,0.4998626708984375,3338.9462890625
9,29,,,,0.8339430093765259,0.576501727104187,3127.884765625,,,
10,32,,,,,,,0.07886747270822525,0.5063115358352661,3334.024169921875
10,32,,,,0.8970857262611389,0.5869818925857544,3121.66796875,,,
11,35,,,,,,,0.007238210644572973,0.5125121474266052,3329.251953125
11,35,,,,0.7616285085678101,0.5945102572441101,3116.4931640625,,,
12,38,,,,,,,0.07772280275821686,0.5179094672203064,3326.1953125
12,38,,,,0.7428395748138428,0.6015479564666748,3112.025634765625,,,
13,41,,,,,,,0.10135389864444733,0.523198664188385,3323.39208984375
13,41,,,,0.8096646666526794,0.6065858602523804,3108.674560546875,,,
14,44,,,,,,,0.09773894399404526,0.5217088460922241,3323.60595703125
14,44,,,,0.8239971995353699,0.6095876097679138,3107.1171875,,,
15,47,,,,,,,0.050422847270965576,0.5292580127716064,3319.502197265625
15,47,,,,0.9387486577033997,0.609241783618927,3106.3505859375,,,
16,50,,,,,,,0.03321521356701851,0.5289046168327332,3319.011474609375
16,50,,,,0.8580257892608643,0.6136897206306458,3105.0908203125,,,
17,53,,,,,,,0.12991492450237274,0.5288394093513489,3318.13623046875
17,53,,,,0.7892764210700989,0.612790048122406,3103.474365234375,,,
18,56,,,,,,,0.08048274368047714,0.5347504019737244,3315.28076171875
18,56,,,,0.8160097599029541,0.6125901341438293,3102.49462890625,,,
19,59,,,,,,,0.07694419473409653,0.5375387072563171,3312.71337890625
19,59,,,,0.8178977370262146,0.6155738830566406,3101.1552734375,,,
20,62,,,,,,,0.08279813826084137,0.5353562235832214,3313.375244140625
20,62,,,,0.8032937049865723,0.6151610612869263,3100.629150390625,,,
21,65,,,,,,,0.07341630756855011,0.533898651599884,3311.510009765625
21,65,,,,0.8088064193725586,0.6165018081665039,3100.53173828125,,,
22,68,,,,,,,0.06236766651272774,0.5370563268661499,3312.19580078125
22,68,,,,0.8254827857017517,0.6185169816017151,3098.5361328125,,,
23,71,,,,,,,0.09528938680887222,0.5398988723754883,3309.391357421875
23,71,,,,0.8935951590538025,0.6201518177986145,3097.3359375,,,
24,74,,,,,,,0.052084315568208694,0.5414941310882568,3308.5869140625
24,74,,,,0.7808976173400879,0.6241121888160706,3095.046142578125,,,
25,77,,,,,,,0.08348109573125839,0.5422053337097168,3308.73876953125
25,77,,,,0.7997353672981262,0.6268478035926819,3093.043212890625,,,
26,80,,,,,,,0.09949933737516403,0.5441031455993652,3308.808837890625
26,80,,,,0.861792802810669,0.6298108100891113,3092.24462890625,,,
27,83,,,,,,,0.0597134605050087,0.544452965259552,3307.624755859375
27,83,,,,0.7305440902709961,0.6339606642723083,3090.56103515625,,,
28,86,,,,,,,0.09159594029188156,0.5463414788246155,3307.626220703125
28,86,,,,0.8138037919998169,0.6370086669921875,3088.82421875,,,
29,89,,,,,,,0.0677095502614975,0.5455781817436218,3306.554443359375
29,89,,,,0.8058802485466003,0.6399872303009033,3087.552734375,,,
30,92,,,,,,,0.06172114238142967,0.545394241809845,3307.25732421875
30,92,,,,0.813126802444458,0.641072690486908,3087.27880859375,,,
31,95,,,,,,,0.09812750667333603,0.5469070672988892,3307.73193359375
31,95,,,,0.882787823677063,0.6402090787887573,3087.989501953125,,,
32,98,,,,,,,0.09033429622650146,0.5491120219230652,3307.113525390625
32,98,,,,0.8115704655647278,0.6390122771263123,3088.489013671875,,,
33,101,,,,,,,0.10167020559310913,0.5508279800415039,3305.70166015625
33,101,,,,0.8647856116294861,0.6386492848396301,3088.8828125,,,
34,104,,,,,,,0.08723761141300201,0.5465508699417114,3307.758544921875
34,104,,,,0.8887348771095276,0.6364200115203857,3090.1376953125,,,
35,107,,,,,,,0.07194674760103226,0.5426811575889587,3308.7685546875
35,107,,,,0.823681652545929,0.6323429942131042,3091.84765625,,,
36,110,,,,,,,0.11031460016965866,0.5451995730400085,3306.09423828125
36,110,,,,0.8995065689086914,0.6258777976036072,3094.1064453125,,,
37,113,,,,,,,0.103408083319664,0.5393620133399963,3308.15966796875
37,113,,,,0.8378761410713196,0.6222848892211914,3095.144287109375,,,
