epoch,step,test_bps_bhv,test_bps_enc,test_loss,time_forward,train_bps_enc,train_loss,valid_bps_bhv,valid_bps_enc,valid_loss
0,2,,,,,,,-0.11051687598228455,-0.04966820031404495,3815.369140625
0,2,,,,1.0839020013809204,-0.027647623792290688,3687.282958984375,,,
1,5,,,,,,,-0.10736333578824997,-0.03318842500448227,3776.9482421875
1,5,,,,0.8451971411705017,-0.004519220907241106,3610.458984375,,,
2,8,,,,,,,-0.10447604954242706,-0.01914135552942753,3750.169677734375
2,8,,,,0.8490475416183472,0.013450054451823235,3570.545654296875,,,
3,11,,,,,,,-0.10586860775947571,-0.006351432763040066,3729.462890625
3,11,,,,0.8236920237541199,0.030426550656557083,3541.151611328125,,,
4,14,,,,,,,-0.10648906230926514,0.008542676456272602,3710.705810546875
4,14,,,,0.8410168290138245,0.04725393280386925,3516.76611328125,,,
5,17,,,,,,,-0.10848016291856766,0.028463175520300865,3691.794189453125
5,17,,,,0.7932038903236389,0.06535816192626953,3495.954345703125,,,
6,20,,,,,,,-0.11213867366313934,0.06291860342025757,3669.19677734375
6,20,,,,0.7721220850944519,0.09083081036806107,3475.162841796875,,,
7,23,,,,,,,-0.1830976903438568,0.13695961236953735,3640.968017578125
7,23,,,,0.8735630512237549,0.14198090136051178,3447.88134765625,,,
8,26,,,,,,,-0.10102545469999313,0.15842388570308685,3611.331298828125
8,26,,,,0.775346577167511,0.20320118963718414,3425.41064453125,,,
9,29,,,,,,,-0.09407245367765427,0.16874797642230988,3594.537109375
9,29,,,,0.7921020984649658,0.21064139902591705,3400.257568359375,,,
10,32,,,,,,,-0.06870140135288239,0.19407841563224792,3578.603271484375
10,32,,,,0.8707212805747986,0.23649978637695312,3382.73291015625,,,
11,35,,,,,,,-0.08051798492670059,0.20781996846199036,3566.123291015625
11,35,,,,0.7418744564056396,0.25835031270980835,3366.7890625,,,
12,38,,,,,,,-0.07631485164165497,0.21593691408634186,3566.831787109375
12,38,,,,0.8120564818382263,0.27471962571144104,3354.9033203125,,,
13,41,,,,,,,-0.08914845436811447,0.21737778186798096,3552.322509765625
13,41,,,,0.7935601472854614,0.2894873023033142,3346.58447265625,,,
14,44,,,,,,,-0.06060846149921417,0.23532633483409882,3548.949462890625
14,44,,,,0.8326281905174255,0.2913115918636322,3340.8212890625,,,
15,47,,,,,,,-0.09240683913230896,0.24003814160823822,3536.47216796875
15,47,,,,0.9168855547904968,0.3010660409927368,3334.851318359375,,,
16,50,,,,,,,-0.11237826198339462,0.24015890061855316,3539.473388671875
